9345838, 275575030, 1.0458736/1.0458774, 0.0000011, 54954.532063, 0.065835, , ciclica, ok
9357275, 273042299, 1.5882980/1.5882954, 0.0000020, 54954.065668, 0.025808, , sem variacao, ok
9365025, 268711288, 0.9843043/0.9843084, 0.0000010, 54954.462569, 0.055605, , ciclica, ok
9392682, 158173344, 0.8929178/0.8929155, 0.0000009, 54954.624705, 0.050708, , sem variacao, ok
9394601, 158393140, 0.8768264/0.8768254, 0.0000009, 54955.415456, 0.024709, , sem variacao, ok
9402652, 159723646, 1.0731040/1.0731054, 0.0000011, 54954.289305, 0.032276, , ciclica, ok
9451096, 164784457, 1.2503908/1.2503922, 0.0000014, 54954.729422, 0.022359, , sem variacao, ok
9470054, 270788955, 1.4732284/1.4732384, 0.0000018, 55003.412755, 0.079880, , sem variacao, ok
9472174, 271164763, 0.1257653/0.1257651, 0.0000001, 54953.643178/120.649178, 0.018318, ainda precisa rodar. Intervalos para o o-c muito grande, sem variacao,
9480977, 273371098, 0.8710309/0.8710244, 0.0000008, 54954.427893, 0.046187, , sem variacao, ok
9512958, 164784369, 3.2371513/3.2285081, 0.0000057, 55005.742909, 0.207325, fluxo constante, sem variacao, ok
9592855, 270698296, 1.2193248/1.2193246, 0.0000014, 54953.971963, 0.026456, , sem variacao, ok
9602595, 273043307, 3.5565084/3.5564288, 0.0000065, 54955.853445, 0.073731, , ciclica, ok
9612468, 239233211, 0.1334715/0.1334714, 0.0000001, 54953.603803, 0.007796, ainda precisa rodar. Intervalos para o o-c muito grande, sem variacao,
9655187, 270957464, 4.4162465/4.4162846, 0.0000089, 54953.965948, 0.286530, , sem variacao
9657096, 271354390, 2.1381817/2.1381937, 0.0000031, 54954.805351, 0.122298, , ciclica, ok
9716456, 271041303, 1.8132862/1.8133076, 0.0000025, 54953.739651, 0.097083, , sem variacao, ok
9760531, 158321712, 0.2727979/0.2727984, 0.0000002, 54953.906065, 0.016139, , ciclica, ok
9784371, 272844506, 3.3012265/3.3012328, 0.0000059, 54957.472723, 0.187266, , sem variacao, ok
9786017, 273372402, 4.4980033/4.4979915, 0.0000092, 54956.640472, 0.064060, , sem variacao, ok
9788113, 273684688, 2.0680581/2.0680513, 0.0000030, 55019.675488, 0.105204, , sem variacao, ok
9827122, 159301268, 2.1549222/2.1549618, 0.0000032, 55003.194668, 0.127949, , sem variacao, ok
9832227, 63205800, 0.4579485/0.4579403, 0.0000003, 54953.951368/120.959368, 0.027693, , ciclica, ok
9848190, 273684561, 5.2410044/5.2408214, 0.0000114, 55021.015532, 0.302103, , sem variacao, ok
9851944, 268387175, 2.1639018/2.1638988, 0.0000032, 54955.847004, 0.053161, , sem variacao, ok
9898401, 271253876, 0.1527742/0.1527745, 0.0000001, 54964.733972, 0.008810, ainda precisa rodar. Intervalos para o o-c muito grande, sem variacao,
9899216, 271424521, 10.9158489/10.9171170, 0.0000329, 55004.681825, -1, olhar no artigo que tipo de sistema tem essa variação, sem variacao, ok
9899416, 271547896, 1.3325545/1.3325657, 0.0000016, 54954.389539, 0.040326, , sem variacao, ok
9906590, 273373040, 1.6863376/1.6863364, 0.0000022, 54954.659859, 0.020608, , sem variacao, ok
9953894, 240178198, 1.3825995/1.3826014, 0.0000017, 54954.535285, 0.059284, , sem variacao, ok
9970937, 268380746, 4.8770612/4.8749954, 0.0000103, 54999.021468/165.221468, 0.330019, , sem variacao, ok
10000490, 158272742, 1.4009912/1.4009915, 0.0000017, 54954.243656, 0.028582, , sem variacao, ok
10014536, 275488116, 1.0093970/1.0012465, 0.0000011, 55009.909088, 0.233169, fluxo constante, sem variacao, ok
10119517, 123357793, 0.7374940/0.7374937, 0.0000007, 54954.000876, 0.040740, , sem variacao, ok
10149845, 271423638, 4.0563649/4.0564674, 0.0000079, 55001.070605, 0.236897, , sem variacao, ok
10155563, 272839425, 0.3602672/0.3602653, 0.0000002, 54953.876698, 0.019781, , ciclica, ok
10191056, 164558072, 2.4274949/2.4274964, 0.0000038, 54955.031469, 0.034813, , sem variacao, ok
10206340, 159644070, 4.5644014/4.5643903, 0.0000093, 54956.962646, 0.136536, , sem variacao, ok
10221886, 272839847, 8.3167176/9.7672601, 0.0000223, 55004.929759, -1, fluxo constante, sem variacao, ok
10226388, 273872891, 0.6606574/0.6606595, 0.0000006, 54954.116530, 0.032137, , ciclica, ok
10253421, 123357952, 0.4283539/0.4283546, 0.0000003, 54953.634411, 0.019438, , sem variacao, ok
10259530, 164833847, 0.7072062/0.7072075, 0.0000006, 54964.588439, 0.042426, , ciclica, ok
10274218, 63071112, 1.7641118/1.7641173, 0.0000024, 55003.411999, 0.112330, , sem variacao, ok
10291683, 273594336, 2.0437432/2.0437452, 0.0000029, 54954.270446, 0.117615, , sem variacao, ok
10389982, 164782264, 0.4439893/0.4439895, 0.0000003, 54964.671500, 0.026229, , ciclica, ok
10417986, 272599738, 0.0737309/0.0737310, 0.0000000, 55000.027476, 0.004231, ainda precisa rodar. Intervalos para o o-c muito grande, sem variacao,
10481912, 272079818, 0.4423682/0.4423684, 0.0000003, 54953.718259, 0.025536, , ciclica, ok
10485137, 272841995, 0.4452748/0.4452774, 0.0000003, 54954.058370, 0.022437, , ciclica, ok
10556068, 268384099, 2.1171558/2.1171556, 0.0000031, 54955.365922, 0.131295, , sem variacao, ok
10619109, 273874851, 2.0451826/2.0451692, 0.0000029, 54955.136772, 0.040497, , sem variacao, ok
10661783, 406947878, 1.2313633/1.2313634, 0.0000014, 54954.954320, 0.039362, , sem variacao, ok
10684673, 267991311, 0.1925563/0.1925325, 0.0000001, 55026.598808/194.298808, 0.010851, , sem variacao, ok
10711938, 48189126, 0.3576039/0.3576026, 0.0000002, 54953.875654, 0.018671, , ciclica, ok
10724533, 299156852, 0.7450918/0.7450945, 0.0000007, 54954.391541, 0.041883, , ciclica, ok
10735519, 26961023, 0.9070641/0.9070718, 0.0000009, 54954.052963, 0.019816, , sem variacao, ok
10789421, 299032481, 0.7768524/0.7768594, 0.0000007, 54953.919448, 0.047249, , ciclica, ok
10815379, 28359831, 0.8905202/0.8905122, 0.0000009, 55002.316811, 0.228004, , sem variacao, ok
10818544, 416528957, 1.3692171/1.3692193, 0.0000016, 54954.302973, 0.073117, , ciclica, ok
10858720, 290035575, 0.9523776/0.9523773, 0.0000010, 54954.858926, 0.026309, , sem variacao, ok
10979669, 26962050, 0.9257680/0.9257696, 0.0000009, 54954.500842, 0.057198, , ciclica, ok
10991769, 267990226, 3.2813452/3.2813104, 0.0000058, 55002.672938/169.772938, 0.202793, , sem variacao, ok
10991989, 264508409, 0.9744780/0.9744774, 0.0000010, 54954.647910, 0.017607, , sem variacao, ok
11071278, 267667927, 55.8852250/55.8858934, 0.0003296, 54992.110514, -1, não há indícios desse objeto ser um sistema binário, sem variacao, ok
11122789, 48304328, 3.2381538/3.237653, 0.0000057, 55000.642064, -1, fluxo constante, sem variacao, ok
11135978, 417676216, 0.2920594/0.2920595, 0.0000002, 54953.926345, 0.015543, , sem variacao, ok
11180361, 405687343, 0.5330609/0.5330605, 0.0000004, 54964.777867, 0.017589, , sem variacao, ok
11244501, 26584043, 0.2966763/0.2966755, 0.0000002, 54953.815356/120.825356, 0.015727, , sem variacao, ok
11255667, 27914890, 0.8189143/0.8189126, 0.0000008, 54954.269242, 0.045358, , ciclica, ok
11295347, 417676658, 0.8884399/0.8884394, 0.0000009, 54954.538010, 0.050040, , sem variacao, ok
11403032, 26541137, 7.6316344/7.6319401, 0.0000197, 55001.910810, -1, não há indícios desse objeto ser um sistema binário, sem variacao, ok
11409673, 27395746, 12.3178693/12.3010299, 0.0000390, 54998.146632/165.746632, -1, , ciclica, ok
11447953, 298785446, 1.4988837/1.4988825, 0.0000019, 54955.251162, 0.083621, , sem variacao, ok
11453915, 350810416, 24.2086999/24.2138176, -1, 54998.534767/165.024767, -1, fluxo constante, sem variacao, ok
11560447, 26656583, 0.5276790/0.5276776, 0.0000004, 54953.730314, 0.014989, , sem variacao, ok
11572643, 28306907, 0.3454039/0.3454017, 0.0000002, 54953.740270, 0.020154, , ciclica, ok
11616594, 27307817, 14.5876122/14.5875484, 0.0000499, 54969.190695, 0.331739, , sem variacao, ok
11649962, 267666834, 10.5627371/10.5641723, 0.0000312, 54973.758217, -1, não há indícios desse objeto ser um sistema binário, sem variacao, ok
11769801, 27396969, 29.7082201/29.6900197, 0.0001368, 54984.647171, -1, fluxo constante, sem variacao, ok
11859811, 299219279, 22.3141477/22.3053982, 0.0000920, 54967.210262, -1, fluxo constante, sem variacao, ok
11920266, 27308818, 0.4674102/0.4674093, 0.0000003, 54954.120756, 0.025557, , sem variacao, ok
11923629, 27845826, 17.9732836/17.9611341, 0.0000673, 54995.528060, -1, fluxo constante, sem variacao, ok
11973705, 351193224, 6.7721423/6.7720818, 0.0000165, 54973.203322, 0.392531, , sem variacao, ok
12066630, 27014615, 1.0983743/1.0983745, 0.0000012, 54953.967832, 0.053976, , sem variacao, ok
12157987, 290032774, 0.5778444/0.5778445, 0.0000005, 54953.900074, 0.026841, , sem variacao, ok
12216817, 27639466, 0.2462731/0.2462732, 0.0000001, 55002.067959, 0.014126, , ciclica, ok
12255108, 416266458, 9.1315263/9.1338187, 0.0000253, 55002.508341, -1, não há indícios desse objeto ser um sistema binário, sem variacao, ok
12257908, 350738423, 2.6159169/2.6159526, 0.0000042, 54954.915973/120.915973, 0.078354, , sem variacao, ok
12268220, 27844498, 4.4215781/4.4215594, 0.0000089, 54954.125749, 0.053826, , sem variacao, ok
12305537, 406951407, 0.3618150/0.3618193, 0.0000002, 54953.653484/120.649484, 0.019373, , ciclica, ok
